,train
2629,"[174, 5258, 803, 980, 2604, 461, 321, 1318, 2316, 293, 1318, 458, 1162, 289, 9683, 5117, 874, 4154, 615, 323, 8974, 950, 1382, 6690, 440, 448, 966, 4474, 399, 272, 5683, 505, 275, 1939, 861, 438, 289, 1086, 272, 463, 293, 2193, 2050, 224, 179, 278, 3914, 8583, 7948, 1027, 9441, 1313, 2373, 1946, 185, 276, 5585, 430, 289, 195, 9445, 7592, 4715, 438, 1086, 2756, 2171, 5422, 6740, 7165, 5716, 179, 3183, 4181, 2756, 7152, 7437, 615, 4718, 4724, 1073, 4292, 448, 5445, 1886, 4012, 314, 404, 321, 3923, 624, 185, 924, 1331, 9050, 8516, 2405, 2676, 4821, 990, 3960, 1069, 275, 1446, 7659, 1799, 181, 6023, 5426, 2612, 185, 924, 1331, 272, 7744, 505, 5422, 939, 7165, 305, 2162, 7036, 4865, 804, 2165, 9379, 249, 467, 5340, 8984, 192, 2356, 463, 1775, 6719, 4154, 396, 273, 9131, 9796, 441, 4482, 181, 172]"
2630,"[174, 25, 792, 1531, 3428, 792, 443, 329, 3425, 4119, 1094, 1943, 526, 558, 1094, 1822, 7770, 960, 1822, 538, 558, 1149, 707, 32, 538, 1434, 2331, 1793, 218, 268, 5359, 1094, 2627, 510, 2115, 4128, 482, 5912, 9293, 346, 2637, 1282, 6216, 1117, 1245, 35, 486, 419, 3827, 33, 549, 218, 7013, 2394, 2128, 35, 1094, 6148, 770, 1393, 7893, 3997, 280, 6454, 45, 510, 3443, 852, 1842, 538, 443, 1325, 2014, 1117, 9840, 606, 7073, 2627, 7806, 2556, 549, 2244, 4375, 334, 329, 1439, 354, 482, 9840, 5511, 877, 2331, 900, 6463, 4128, 1735, 443, 2579, 563, 354, 5842, 329, 707, 41, 346, 682, 648, 356, 2964, 5492, 1531, 2601, 3670, 6572, 828, 3906, 4484, 4074, 563, 2606, 1119, 354, 1150, 5298, 1461, 673, 5646, 234, 1646, 682, 1144, 1461, 5492, 1531, 3330, 995, 1531, 2056, 606, 549, 877, 2912, 7674, 6148, 792, 346, 1567, 2203, 2221, 334, 1321, 32, 146, 35, 1053, 2964, 792, 563, 1094, 7250, 1851, 2119, 2637, 7250, 2203, 486, 354, 707, 27, 648, 389, 419, 3003, 32, 1045, 389, 2361, 3422, 4856, 1036]"
2631,"[174, 25, 794, 1533, 2179, 794, 445, 331, 3471, 4117, 1096, 1958, 525, 559, 1096, 1826, 7772, 962, 1826, 537, 559, 1153, 709, 32, 537, 1435, 2438, 1792, 220, 270, 5571, 1096, 2504, 509, 2117, 4129, 481, 5913, 9292, 349, 2517, 1297, 6214, 1155, 1246, 35, 488, 352, 3911, 33, 551, 220, 7014, 2093, 1991, 35, 1096, 5956, 772, 1395, 7894, 3999, 282, 6723, 45, 509, 3444, 853, 2061, 537, 445, 1327, 2012, 1155, 9841, 604, 7075, 2504, 7805, 2468, 551, 2248, 4377, 336, 331, 1438, 360, 481, 9841, 5510, 879, 2438, 896, 6465, 4129, 1808, 445, 2580, 562, 360, 5841, 331, 709, 41, 349, 678, 649, 358, 3010, 5490, 1533, 2569, 3672, 6574, 830, 3907, 4487, 4075, 562, 2608, 1118, 360, 1181, 5299, 1463, 672, 5473, 238, 1645, 678, 1146, 1463, 5490, 1533, 2402, 996, 1533, 2069, 604, 551, 879, 2714, 7678, 5956, 794, 349, 1569, 2565, 1864, 336, 1323, 32, 147, 35, 1054, 3010, 794, 562, 1096, 7252, 1850, 2120, 2517, 7252, 2565, 488, 360, 709, 27, 649, 392, 352, 3000, 32, 1047, 392, 2397, 3421, 4858, 1038]"
2632,"[174, 8546, 1798, 2574, 321, 836, 566, 623, 1400, 619, 5874, 1400, 619, 2083, 396, 1361, 619, 4854, 1019, 6890, 1166, 523, 8684, 1166, 1663, 1597, 609, 1400, 472, 467, 1638, 4477, 465, 420, 1026, 8916, 372, 2192, 868, 441, 396, 1085, 420, 9566, 2990, 3046, 548, 249, 275, 4078, 8585, 6748, 1431, 8501, 1311, 2377, 1948, 339, 293, 5052, 590, 396, 9404, 7660, 465, 4746, 441, 1085, 6610, 839, 5653, 6742, 7481, 5660, 2454, 249, 3516, 3945, 6610, 2852, 7433, 1166, 4755, 4723, 1162, 4754, 467, 6452, 4319, 7883, 395, 505, 623, 249, 2544, 1501, 339, 1267, 2454, 6329, 8478, 808, 2881, 3016, 372, 615, 1448, 3971, 1122, 372, 1021, 611, 624, 3089, 185, 9531, 5658, 3874, 339, 1267, 2454, 420, 1267, 836, 839, 5653, 1223, 7481, 923, 2635, 7038, 5183, 840, 623, 4507, 611, 670, 711, 9070, 2320, 1187, 226, 2621, 611, 7191, 8121, 6890, 1187, 330, 9158, 7081, 1188, 615, 1373, 4580, 172]"
2633,"[174, 5213, 805, 979, 2605, 462, 279, 1105, 2317, 276, 1105, 459, 1073, 290, 9684, 5098, 875, 4155, 441, 5246, 441, 949, 1384, 6677, 447, 460, 965, 3592, 403, 267, 5162, 404, 278, 1940, 978, 498, 290, 1185, 267, 464, 276, 2195, 2052, 8328, 355, 3917, 8584, 5759, 1028, 182, 194, 6306, 3546, 440, 181, 313, 1676, 431, 290, 196, 8858, 7291, 4713, 498, 1185, 2918, 3538, 5419, 6747, 7164, 5715, 180, 3185, 3939, 2918, 464, 1947, 6824, 441, 4158, 4387, 1074, 4287, 460, 5448, 1919, 4019, 316, 405, 279, 3841, 410, 181, 942, 1332, 9049, 8481, 2478, 2678, 4576, 991, 4309, 1104, 278, 1450, 7054, 1801, 184, 6025, 5055, 2584, 181, 942, 1332, 267, 7745, 404, 5419, 940, 7164, 182, 1342, 398, 1069, 4864, 806, 2163, 6948, 179, 448, 5339, 8036, 198, 2358, 464, 1148, 7301, 4155, 289, 277, 9132, 9798, 438, 4462, 184, 172]"
2634,"[174, 2674, 4321, 999, 3108, 529, 8367, 821, 6204, 715, 821, 1074, 322, 225, 3143, 7642, 1029, 75, 292, 438, 4044, 438, 1143, 1651, 9392, 5438, 713, 2258, 4866, 6913, 250, 6765, 1126, 163, 1499, 929, 322, 2256, 307, 1068, 313, 2218, 2054, 196, 66, 209, 501, 292, 8587, 913, 1858, 8271, 1355, 7174, 5586, 7378, 506, 322, 721, 871, 7239, 3771, 1769, 2256, 7459, 200, 1617, 5952, 7146, 5718, 225, 3321, 5204, 7459, 5239, 622, 438, 180, 3110, 871, 2158, 4289, 3772, 5275, 196, 1821, 292, 8750, 304, 1467, 407, 999, 5305, 9217, 667, 832, 322, 2131, 592, 4491, 3120, 143, 3693, 160, 355, 620, 8976, 2273, 73, 250, 4157, 6951, 3742, 999, 5305, 3437, 2778, 405, 5059, 1034, 7146, 183, 1126, 8076, 7391, 818, 304, 1281, 622, 180, 460, 5306, 9523, 620, 5756, 1124, 277, 9516, 292, 7600, 9761, 9811, 498, 5757, 820]"
2635,"[174, 25, 793, 1532, 3429, 793, 444, 332, 3426, 4120, 1095, 1957, 527, 560, 1095, 1824, 7773, 961, 1824, 539, 560, 1152, 708, 32, 539, 1436, 2437, 1794, 219, 269, 5360, 1095, 2466, 511, 2116, 4130, 483, 5914, 9294, 350, 2636, 1296, 6218, 1156, 1247, 35, 492, 417, 3825, 33, 550, 219, 7015, 2392, 2126, 35, 1095, 6149, 771, 1394, 7895, 3998, 281, 6456, 45, 511, 3445, 854, 1843, 539, 444, 1326, 2016, 1156, 9842, 607, 7074, 2466, 7807, 2557, 550, 2246, 4376, 335, 332, 1440, 361, 483, 9842, 5512, 878, 2437, 901, 6464, 4130, 1809, 444, 2581, 564, 361, 5843, 332, 708, 41, 350, 683, 650, 357, 3009, 5494, 1532, 2602, 3671, 6573, 829, 3908, 4488, 4076, 564, 2607, 1120, 361, 1182, 5300, 1462, 674, 5645, 237, 1647, 683, 1145, 1462, 5494, 1532, 3331, 997, 1532, 2068, 607, 550, 878, 2913, 7676, 6149, 793, 350, 1568, 2566, 2223, 335, 1322, 32, 148, 35, 1055, 3009, 793, 564, 1095, 7251, 1852, 2121, 2636, 7251, 2566, 492, 361, 708, 27, 650, 393, 417, 3001, 32, 1046, 393, 2396, 3423, 4857, 1037]"
2636,"[174, 25, 795, 1534, 3430, 795, 446, 333, 3427, 4121, 1097, 1959, 528, 561, 1097, 1828, 7774, 963, 1828, 540, 561, 1154, 710, 32, 540, 1437, 2439, 1795, 221, 271, 5361, 1097, 2467, 512, 2118, 4131, 484, 5915, 9295, 351, 2638, 1298, 6220, 1157, 1248, 35, 493, 418, 3826, 33, 552, 221, 7016, 2393, 2127, 35, 1097, 6150, 773, 1396, 7896, 4000, 283, 6457, 45, 512, 3446, 855, 1844, 540, 446, 1328, 2018, 1157, 9843, 608, 7076, 2467, 7808, 2558, 552, 2250, 4378, 337, 333, 1441, 362, 484, 9843, 5513, 880, 2439, 902, 6466, 4131, 1810, 446, 2582, 565, 362, 5844, 333, 710, 41, 351, 684, 651, 359, 3011, 5496, 1534, 2603, 3673, 6575, 831, 3909, 4489, 4077, 565, 2609, 1121, 362, 1183, 5301, 1464, 675, 5647, 239, 1648, 684, 1147, 1464, 5496, 1534, 3332, 998, 1534, 2070, 608, 552, 880, 2914, 7680, 6150, 795, 351, 1570, 2567, 2226, 337, 1324, 32, 149, 35, 1056, 3011, 795, 565, 1097, 7254, 1853, 2122, 2638, 7254, 2567, 493, 362, 710, 27, 651, 394, 418, 3002, 32, 1048, 394, 2398, 3424, 4859, 1039]"
2637,"[174, 5926, 4957, 5080, 3847, 4736, 290, 438, 326, 9435, 321, 312, 5587, 353, 1271, 294, 2875, 457, 6189, 396, 4803, 447, 450, 6189, 1632, 1023, 948, 3006, 323, 6815, 5498, 6815, 475, 306, 199, 2718, 430, 3452, 1123, 306, 4944, 6494, 304, 442, 3378, 319, 457, 8865, 1802, 1802, 7752, 977, 3006, 295, 2332, 429, 3710, 9462, 5457, 7316, 353, 199, 296, 397, 395, 461, 353, 2855, 1526, 2202, 188, 499, 475, 7508, 1447, 9047, 3356, 326, 1078, 4113, 295, 1721, 5290, 1721, 458, 524, 2931, 3942, 323, 1208, 9462, 5457, 7316, 4833, 458, 395, 279, 461, 1447, 9047, 3356, 4424, 321, 199, 2160, 4848, 930, 397, 9575, 930, 397, 1502, 3172, 202, 453, 452, 7855, 461, 1345, 8493, 4080, 1088, 204, 800, 1874, 3325, 5117, 4993, 566, 226, 953, 1383, 1360, 4381, 461, 320, 197, 290, 2884, 4644, 976, 2433, 3668, 497, 1112, 188, 800, 890, 317, 429, 456, 305, 9987, 1262, 2930, 312, 397, 4299, 4818, 453, 440, 6292, 4080, 7161, 7283, 800, 326, 1193, 429, 615, 2334, 6415, 1148, 294, 2561, 6021, 353, 199, 2064, 453, 615, 212, 46, 668, 499, 7606, 2050, 8153, 1398, 132, 193, 9221, 441, 986, 5960, 6407, 199, 429, 1167, 323, 2875, 60, 553, 3847, 189, 3650, 6985, 975, 312, 977, 431, 199, 462, 496, 1234, 2706, 2665, 2822, 58, 717]"
2638,"[1536, 1659, 2533, 2337, 823, 5191, 538, 1593, 409, 606, 5472, 682, 389, 354, 661, 9287, 3370, 2414, 681, 3231, 827, 1851, 625, 243, 967, 2277, 375, 827, 4702, 2097, 1149, 3674, 36, 9177, 5368, 9177, 41, 3876, 243, 2263, 6548, 685, 44, 1636, 476, 284, 967, 568, 409, 827, 510, 8918, 681, 7364, 967, 419, 63, 419, 41, 1668, 1273, 3674, 38, 3259, 823, 3090, 606, 2521, 1204, 6348, 758, 2521, 724, 29, 476, 758, 3038, 32, 1488, 6001, 777, 41, 3394, 6343, 1851, 7460, 554, 34, 2521, 777, 2659, 885, 334, 8466, 885, 960, 156, 2659, 885, 8384, 3747, 1488, 2521, 1204, 6348, 8464, 1618, 9283, 476, 1851, 7460, 554, 4414, 3012, 476, 6165, 31, 1171, 9705, 8687, 9705, 34, 1349, 308, 375, 626, 43, 8066, 3128, 4444, 1550, 9697, 4260, 308, 5667, 7686, 599, 5031, 2773, 661, 4251, 2414, 1562, 39, 2414, 823, 46, 1851, 2641, 823, 2956, 4935, 1335, 2489, 39, 3654, 1665, 1045, 234, 6532, 753, 334, 823, 48, 1130, 530, 251, 1306, 29, 753, 389, 724, 48, 1204, 31, 3654, 51, 682, 5163, 4231, 2859, 8472, 1144, 828, 34, 3250, 599, 32, 758, 1598, 7340, 40, 3370, 753, 308, 5850, 758, 1414, 2939, 2331, 3394, 383, 156, 1952, 3827, 39, 3728, 268, 7249, 334, 5094, 44, 510, 2641, 796, 38, 753, 476, 599, 43, 1349, 2773, 681, 1286, 38, 2762, 234, 5151, 6234, 1335, 375, 1504, 918, 284, 3165, 4447, 1488, 3030, 3862, 5480, 1761]"
2639,"[1536, 1661, 2535, 2338, 824, 5192, 537, 1594, 412, 604, 5474, 678, 392, 9492, 9870, 3635, 2378, 689, 3229, 822, 1850, 631, 245, 964, 2276, 383, 822, 4701, 2099, 1153, 3676, 36, 9178, 5367, 9178, 41, 3875, 245, 2265, 6547, 687, 44, 1701, 478, 286, 964, 567, 412, 822, 509, 8919, 689, 537, 360, 964, 352, 63, 352, 41, 1670, 1290, 3676, 38, 3260, 824, 3091, 604, 2522, 1205, 6349, 757, 2522, 725, 29, 478, 757, 3039, 32, 1537, 6003, 779, 41, 3393, 6344, 1850, 7462, 556, 34, 2522, 779, 2658, 886, 336, 8468, 886, 962, 158, 2658, 886, 8388, 3748, 1537, 2522, 1205, 6349, 7715, 1619, 9284, 478, 1850, 7462, 556, 4417, 2967, 478, 6167, 31, 1170, 9706, 8686, 9706, 34, 1389, 310, 383, 628, 43, 8439, 3129, 4443, 1552, 9699, 4353, 310, 5669, 7689, 601, 5030, 2774, 663, 4250, 2378, 1564, 39, 2378, 824, 46, 1850, 2643, 824, 2955, 4937, 1337, 2491, 39, 3656, 1664, 1047, 238, 5533, 755, 336, 9614, 1129, 532, 253, 1308, 29, 755, 392, 725, 48, 1205, 31, 3656, 51, 678, 5165, 4233, 2861, 8474, 1146, 830, 34, 3251, 601, 32, 757, 1600, 7343, 40, 3635, 755, 310, 5851, 757, 1415, 2801, 2438, 3393, 235, 4451, 982, 3911, 39, 3730, 270, 7249, 336, 5095, 44, 509, 2643, 798, 38, 755, 478, 601, 43, 1389, 2774, 689, 1284, 38, 2764, 238, 5152, 6235, 1337, 383, 1516, 917, 286, 3163, 4450, 1537, 3031, 3864, 5481, 1762]"
2640,"[174, 5927, 4835, 5459, 4395, 4115, 289, 441, 589, 8852, 623, 323, 5588, 750, 1502, 791, 2829, 456, 6187, 1187, 3704, 440, 2008, 6187, 6881, 1280, 951, 3004, 523, 6816, 5145, 6816, 694, 4306, 2716, 590, 3451, 1526, 353, 2202, 6749, 279, 437, 3858, 306, 456, 8058, 1800, 1800, 8193, 975, 3004, 450, 2333, 428, 3972, 7681, 5454, 623, 524, 750, 212, 9434, 981, 566, 750, 2853, 3213, 5828, 189, 572, 694, 7506, 4141, 7131, 4145, 589, 1080, 6239, 450, 2977, 8446, 2977, 619, 856, 6752, 6717, 523, 1367, 7681, 5454, 623, 524, 6781, 619, 981, 321, 566, 4141, 7131, 4145, 4425, 623, 212, 2199, 7448, 931, 406, 9106, 931, 406, 2895, 2942, 201, 473, 646, 7849, 566, 3088, 9046, 4352, 294, 1283, 808, 4191, 3366, 4854, 4995, 6069, 955, 1381, 2135, 4380, 566, 974, 264, 289, 2883, 7150, 1012, 2459, 3991, 735, 3302, 189, 808, 1590, 326, 428, 524, 923, 264, 185, 1261, 791, 395, 323, 406, 5250, 5307, 473, 472, 6328, 4352, 7163, 8909, 808, 589, 1194, 428, 1166, 676, 450, 7952, 1775, 791, 2632, 6201, 750, 212, 2084, 473, 1166, 474, 34, 668, 572, 7605, 3046, 320, 7140, 132, 363, 3184, 428, 615, 5699, 767, 8871, 212, 428, 1604, 523, 2829, 48, 553, 4395, 320, 3649, 6984, 1345, 323, 975, 430, 212, 461, 495, 1521, 5570, 2707, 2820, 46, 717]"
2641,"[174, 5899, 2183, 4840, 3848, 4825, 8863, 317, 325, 485, 279, 5247, 617, 306, 1272, 201, 3327, 591, 6196, 289, 203, 8417, 295, 6196, 1012, 1024, 1016, 3008, 312, 6592, 6491, 6592, 466, 7002, 2262, 431, 3453, 1125, 7002, 7718, 316, 455, 612, 3846, 433, 591, 312, 1589, 168, 1883, 7753, 1071, 3008, 296, 3069, 432, 3707, 8376, 5787, 7304, 306, 200, 325, 398, 314, 462, 306, 2856, 1123, 4944, 208, 500, 466, 7504, 951, 9048, 3357, 317, 1087, 4114, 296, 1722, 5291, 1722, 459, 456, 3335, 5788, 312, 1209, 8376, 5787, 7304, 306, 4186, 314, 304, 462, 951, 9048, 3357, 4426, 279, 200, 1524, 5651, 1018, 398, 9526, 1018, 398, 1271, 2372, 211, 454, 449, 7819, 462, 975, 8494, 4082, 1090, 205, 801, 1875, 3702, 5098, 4543, 461, 192, 4542, 161, 1359, 3384, 462, 189, 203, 3384, 403, 4632, 1014, 2434, 3667, 437, 1111, 208, 801, 889, 327, 432, 457, 182, 203, 184, 1378, 201, 316, 5784, 4045, 4802, 454, 447, 6270, 4082, 7162, 7278, 801, 317, 1274, 432, 441, 2597, 1465, 1124, 201, 2562, 398, 442, 306, 200, 2066, 454, 441, 199, 58, 668, 500, 7317, 2052, 8152, 1399, 132, 191, 9126, 438, 985, 3632, 191, 7990, 432, 1168, 312, 3327, 72, 553, 3848, 2133, 454, 7006, 977, 315, 1071, 506, 200, 529, 617, 1235, 2546, 3107, 3577, 70, 717]"
2642,"[174, 5928, 5004, 835, 3852, 4183, 1682, 327, 74, 1406, 304, 2500, 665, 319, 1592, 202, 705, 2174, 77, 3303, 290, 2292, 3614, 296, 77, 3303, 976, 1222, 1432, 3695, 315, 1316, 765, 6493, 1316, 5146, 2519, 247, 5662, 3448, 1333, 2519, 291, 3614, 8400, 3303, 5465, 247, 2174, 3938, 989, 168, 87, 168, 7759, 1610, 3695, 7618, 835, 3708, 6451, 1161, 7309, 319, 733, 749, 316, 529, 319, 6767, 1125, 200, 2986, 671, 477, 7505, 948, 9079, 3418, 6451, 671, 457, 3298, 2739, 457, 2033, 3143, 457, 3298, 3763, 315, 1694, 6451, 1161, 7309, 319, 3266, 316, 455, 529, 948, 9079, 3418, 4419, 304, 70, 2563, 4612, 1057, 597, 8422, 1057, 597, 1272, 1203, 588, 613, 485, 7765, 529, 977, 9051, 4281, 5598, 832, 322, 1354, 610, 7642, 5139, 5115, 705, 1566, 208, 705, 835, 529, 188, 1354, 835, 716, 4633, 1371, 2555, 3669, 9521, 1020, 832, 914, 70, 835, 591, 183, 1881, 1310, 202, 2575, 749, 72, 1161, 203, 6921, 618, 6271, 4281, 7149, 5769, 832, 327, 1480, 610, 438, 3770, 79, 610, 1164, 202, 751, 4626, 319, 645, 6146, 438, 200, 70, 668, 1375, 7245, 2054, 7575, 161, 132, 206, 9140, 498, 3633, 807, 206, 364, 70, 610, 1288, 6711, 714, 553, 3852, 1020, 903, 74, 1774, 1071, 7544, 150, 1186, 70, 2336, 9960, 1527, 2553, 4085, 6143, 82, 717]"
2643,"[1536, 1660, 2534, 2339, 825, 5193, 539, 1595, 415, 607, 5475, 683, 393, 9493, 9871, 3636, 2415, 692, 3233, 833, 1852, 632, 244, 968, 2278, 390, 833, 4703, 2098, 1152, 3675, 36, 9179, 5369, 9179, 41, 3877, 244, 2264, 6549, 686, 44, 1702, 479, 285, 968, 569, 415, 833, 511, 8920, 692, 539, 361, 968, 417, 63, 417, 41, 1669, 1289, 3675, 38, 3261, 825, 3092, 607, 2523, 1206, 6350, 759, 2523, 726, 29, 479, 759, 3040, 32, 1538, 6002, 778, 41, 3395, 6345, 1852, 7461, 555, 34, 2523, 778, 2660, 887, 335, 8467, 887, 961, 157, 2660, 887, 8386, 3749, 1538, 2523, 1206, 6350, 7716, 1620, 9285, 479, 1852, 7461, 555, 4415, 3013, 479, 6166, 31, 1172, 9707, 8688, 9707, 34, 1390, 309, 390, 627, 43, 8441, 3130, 4445, 1551, 9698, 4261, 309, 5668, 7691, 600, 5032, 2775, 662, 4252, 2415, 1563, 39, 2415, 825, 46, 1852, 2642, 825, 2957, 4936, 1336, 2490, 39, 3655, 1666, 1046, 237, 6533, 754, 335, 8470, 1131, 531, 252, 1307, 29, 754, 393, 726, 48, 1206, 31, 3655, 51, 683, 5164, 4232, 2860, 8473, 1145, 829, 34, 3252, 600, 32, 759, 1599, 7345, 40, 3636, 754, 309, 5852, 759, 1416, 2938, 2437, 3395, 1605, 53, 4449, 983, 3825, 39, 3729, 269, 7249, 335, 5096, 44, 511, 2642, 797, 38, 754, 479, 600, 43, 1390, 2775, 692, 1285, 38, 2765, 237, 5153, 6236, 1336, 390, 1515, 919, 285, 3167, 4448, 1538, 3029, 3860, 5479, 1760]"
2644,"[1536, 1662, 2536, 2340, 826, 5194, 540, 1596, 416, 608, 5476, 684, 394, 9494, 9872, 3637, 2416, 693, 3235, 834, 1853, 633, 246, 969, 2279, 391, 834, 4704, 2100, 1154, 3677, 36, 9180, 5370, 9180, 41, 3878, 246, 2266, 6550, 688, 44, 1703, 480, 287, 969, 570, 416, 834, 512, 8921, 693, 540, 362, 969, 418, 63, 418, 41, 1671, 1291, 3677, 38, 3262, 826, 3093, 608, 2524, 1207, 6351, 760, 2524, 727, 29, 480, 760, 3041, 32, 1539, 6004, 780, 41, 3396, 6346, 1853, 7463, 557, 34, 2524, 780, 2661, 888, 337, 8469, 888, 963, 159, 2661, 888, 8390, 3750, 1539, 2524, 1207, 6351, 7717, 1621, 9286, 480, 1853, 7463, 557, 4416, 3014, 480, 6168, 31, 1173, 9708, 8689, 9708, 34, 1391, 311, 391, 629, 43, 8443, 3131, 4446, 1553, 9700, 4262, 311, 5670, 7693, 602, 5033, 2776, 664, 4253, 2416, 1565, 39, 2416, 826, 46, 1853, 2644, 826, 2958, 4938, 1338, 2492, 39, 3657, 1667, 1048, 239, 6534, 756, 337, 8471, 1132, 533, 254, 1309, 29, 756, 394, 727, 48, 1207, 31, 3657, 51, 684, 5166, 4234, 2862, 8475, 1147, 831, 34, 3253, 602, 32, 760, 1601, 7347, 40, 3637, 756, 311, 5853, 760, 1417, 2940, 2439, 3396, 1606, 53, 4453, 984, 3826, 39, 3731, 271, 7249, 337, 5097, 44, 512, 2644, 799, 38, 756, 480, 602, 43, 1391, 2776, 693, 1287, 38, 2766, 239, 5154, 6237, 1338, 391, 1517, 920, 287, 3169, 4452, 1539, 3032, 3866, 5482, 1763]"
2645,"[174, 7756, 804, 2365, 3841, 437, 272, 7407, 497, 185, 1412, 1332, 5017, 224, 278, 196, 4841, 3433, 928, 185, 1412, 1384, 4578, 6203, 6554, 497, 293, 8191, 6031, 8191, 1148, 5933, 2592, 2665, 2216, 59, 605, 1058, 8577, 5022, 7845, 2182, 401, 1148, 295, 2107, 405, 272, 267, 431, 4942, 7917, 185, 5069, 404, 7484, 7310, 4362, 1830, 4460, 441, 293, 9421, 367, 272, 4820, 1766, 267, 2835, 276, 316, 1125, 267, 2835, 8849, 2444, 2622, 2822, 2869, 61, 605, 6937, 805, 4107, 2605, 2927, 1960, 438, 462, 189, 8604, 1234, 1088, 267, 367, 437, 3584, 3431, 441, 210, 8316, 775, 4888, 5349, 2335, 1758, 3375, 2471, 407, 438, 1785, 3431, 289, 1085, 8787, 276, 448, 224, 3121, 3914, 410, 4709, 3969, 305, 3367, 172]"
2646,"[1611, 4051, 175, 2496, 2934, 50, 482, 8260, 4683, 1506, 1627, 9304, 33, 6959, 652, 7231, 2750, 1195, 37, 1506, 6047, 45, 3895, 4912, 8652, 38, 526, 8207, 4005, 8207, 40, 1228, 5771, 3103, 3030, 3387, 7654, 1402, 47, 9040, 5855, 904, 40, 9998, 50, 5838, 1582, 1244, 346, 1833, 1903, 503, 526, 1000, 230, 1061, 2897, 1204, 3099, 2690, 6172, 2041, 743, 2150, 340, 1906, 3805, 354, 730, 1842, 375, 563, 5646, 341, 503, 1119, 4738, 222, 49, 341, 503, 526, 373, 6741, 482, 3862, 4194, 424, 61, 1402, 42, 2750, 904, 3275, 230, 9620, 4200, 230, 3232, 510, 280, 2513, 45, 1233, 1531, 4526, 563, 3190, 574, 44, 538, 3540, 786, 3751, 1393, 4908, 1582, 3201, 214, 8992, 526, 5685, 2670, 5493, 5254, 3906, 1150, 443, 6192, 47, 340, 639, 4098, 214, 707, 42, 4978, 1618, 3353, 2767, 1036]"
2647,"[1611, 4053, 177, 2594, 2935, 50, 481, 8261, 4682, 1508, 1629, 9306, 33, 6961, 654, 7230, 2752, 1197, 37, 1508, 6049, 45, 3896, 4911, 8653, 38, 525, 8208, 4004, 8208, 40, 1264, 5773, 3102, 3031, 3388, 7655, 1403, 47, 9042, 5854, 906, 40, 220, 3196, 50, 5837, 1584, 1276, 349, 1834, 1902, 502, 525, 1002, 232, 1063, 3156, 1205, 3098, 2692, 6174, 1937, 745, 2175, 343, 1908, 3804, 360, 729, 2061, 383, 562, 5473, 342, 502, 1118, 4739, 227, 49, 342, 502, 525, 376, 7043, 481, 3864, 4195, 425, 61, 1403, 42, 2752, 906, 3314, 232, 9621, 4199, 232, 3230, 509, 282, 2514, 45, 1339, 1533, 4525, 562, 3133, 576, 44, 537, 3542, 788, 3822, 1395, 5042, 1584, 3200, 216, 8991, 525, 5687, 2669, 5491, 5255, 3907, 1181, 445, 6193, 47, 343, 637, 4039, 216, 709, 42, 4977, 1619, 3352, 2769, 1038]"
2648,"[174, 7583, 840, 2401, 3923, 497, 420, 7401, 735, 339, 1419, 1331, 5018, 548, 275, 195, 4972, 3440, 927, 339, 1419, 1382, 4589, 7086, 6553, 735, 517, 8192, 6052, 8192, 1775, 5934, 5354, 2707, 2207, 47, 605, 1060, 8576, 5023, 7854, 2186, 400, 1775, 450, 2108, 404, 420, 272, 430, 4973, 7904, 4592, 7077, 7485, 8144, 182, 719, 3973, 3286, 615, 517, 330, 6178, 420, 4949, 4788, 272, 3073, 293, 314, 1123, 272, 3073, 517, 295, 2723, 5725, 2820, 2866, 49, 605, 6969, 803, 4308, 2604, 2980, 1961, 441, 461, 320, 7464, 1521, 1724, 272, 366, 497, 249, 1815, 400, 615, 451, 7582, 774, 4889, 5350, 3344, 1757, 3442, 2487, 410, 441, 2882, 4363, 396, 1549, 305, 8221, 293, 467, 548, 7591, 4078, 624, 4745, 5659, 923, 3372, 172]"
2649,"[174, 7757, 806, 2440, 1467, 442, 267, 7130, 437, 2674, 680, 161, 5006, 195, 355, 1764, 485, 4029, 151, 2674, 722, 161, 4666, 6026, 8205, 437, 276, 6515, 4743, 6515, 1124, 5935, 2547, 3107, 2871, 71, 605, 1098, 8575, 5026, 7864, 4544, 1124, 296, 2074, 143, 4170, 506, 186, 1127, 7930, 1816, 6503, 7483, 6403, 2589, 195, 1649, 1077, 438, 276, 277, 3832, 4170, 477, 1759, 307, 2763, 313, 364, 1333, 307, 2763, 5447, 2499, 2595, 3577, 3761, 73, 605, 180, 3120, 151, 3182, 3108, 2929, 2057, 498, 529, 188, 9447, 1235, 1090, 61, 718, 442, 3621, 3365, 438, 204, 180, 208, 776, 4890, 4544, 448, 2308, 1756, 3374, 2505, 436, 498, 1811, 3365, 290, 1086, 8789, 313, 460, 195, 3437, 3917, 407, 1885, 3970, 3363, 8814]"
